File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FS_CheckInitComplete(void),9,9,7,1,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FS_FinalErrorSet(void),5,5,5,0,0,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FS_Cycle1(void),21,21,13,7,0,5,0,24,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FS_Cycle2(void),21,21,13,7,0,5,0,24,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FS_Cycle3(void),15,15,9,5,0,3,0,17,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\FailSafety_Mode.c,FailSafety_Mode(void),19,16,8,2,0,0,3,21,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Fdl.c,FDL_Init(void),19,17,11,4,2,1,0,1,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Fdl.c,FDL_Write(void),102,78,66,8,23,18,1,81,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Fdl.c,FDL_Read(void),56,43,33,6,12,1,1,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.c,OBD_Init(void),18,13,7,0,2,0,3,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.c,"Init_StartMotor(uint8_t next_step, uint8_t dir, uint8_t is_case0)",27,21,19,2,4,0,2,6,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.c,"Init_StallCheck(uint8_t next_step, uint8_t retry_step, uint8_t dir)",51,36,24,4,6,1,9,27,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.c,Init_Delay(uint8_t next_step),12,10,8,1,2,0,0,0,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.c,Init_MoveLimitPosition(void),22,16,12,1,3,6,3,33,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.c,Init_CheckLimitArrival(void),49,42,31,4,4,0,3,7,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.c,InitMove_Cycle1(void),27,27,17,9,0,1,0,3,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.c,InitMove_Cycle2(void),38,36,25,9,0,0,2,24,
C:\Users\admin\Desktop\5_AAF\SX3k\SX3k_SW\src\smc_gen\general\App\Service\Init_Move.c,Init_move(void),9,9,5,1,0,0,0,0,
